iter	Passed	Remaining
809	1521	356
810	1522	354
811	1524	352
812	1525	350
813	1526	348
814	1527	346
815	1530	345
816	1531	343
817	1533	341
818	1534	339
819	1535	337
820	1536	335
821	1538	333
822	1539	331
823	1540	329
824	1541	327
825	1543	325
826	1545	323
827	1546	321
828	1548	319
829	1549	317
830	1550	315
831	1552	313
832	1553	311
833	1555	309
834	1556	307
835	1558	305
836	1560	303
837	1562	301
838	1563	299
839	1564	297
840	1565	295
841	1566	293
842	1567	291
843	1569	290
844	1570	288
845	1571	286
846	1572	284
847	1574	282
848	1576	280
849	1578	278
850	1579	276
851	1581	274
852	1582	272
853	1584	270
854	1585	268
855	1586	266
856	1587	264
857	1589	263
858	1591	261
859	1592	259
860	1594	257
861	1595	255
862	1596	253
863	1597	251
864	1598	249
865	1600	247
866	1601	245
867	1602	243
868	1604	241
869	1606	239
870	1607	238
871	1608	236
872	1609	234
873	1610	232
874	1612	230
875	1613	228
876	1614	226
877	1615	224
878	1616	222
879	1618	220
880	1620	218
881	1622	217
882	1623	215
883	1624	213
884	1625	211
885	1627	209
886	1628	207
887	1629	205
888	1630	203
889	1632	201
890	1633	199
891	1636	198
892	1638	196
893	1639	194
894	1640	192
895	1641	190
896	1643	188
897	1644	186
898	1645	184
899	1646	182
900	1648	181
901	1650	179
902	1651	177
903	1652	175
904	1654	173
905	1655	171
906	1656	169
907	1657	167
908	1658	166
909	1660	164
910	1661	162
911	1662	160
912	1665	158
913	1666	156
914	1667	154
915	1669	153
916	1670	151
917	1671	149
918	1672	147
919	1673	145
920	1675	143
921	1676	141
922	1677	139
923	1679	138
924	1681	136
925	1682	134
926	1684	132
927	1685	130
928	1686	128
929	1688	127
930	1689	125
931	1690	123
932	1692	121
933	1693	119
934	1695	117
935	1696	116
936	1698	114
937	1699	112
938	1700	110
939	1701	108
940	1702	106
941	1703	104
942	1705	103
943	1706	101
944	1707	99
945	1709	97
946	1711	95
947	1712	93
948	1713	92
949	1715	90
950	1716	88
951	1717	86
952	1718	84
953	1719	82
954	1721	81
955	1722	79
956	1724	77
957	1725	75
958	1727	73
959	1728	72
960	1729	70
961	1730	68
962	1732	66
963	1733	64
964	1734	62
965	1735	61
966	1736	59
967	1738	57
968	1740	55
969	1741	53
970	1742	52
971	1744	50
972	1745	48
973	1746	46
974	1747	44
975	1748	43
976	1749	41
977	1751	39
978	1752	37
979	1754	35
980	1756	34
981	1757	32
982	1758	30
983	1760	28
984	1761	26
985	1762	25
986	1763	23
987	1764	21
988	1766	19
989	1767	17
990	1769	16
991	1771	14
992	1772	12
993	1774	10
994	1775	8
995	1777	7
996	1778	5
997	1779	3
998	1780	1
999	1781	0
